id,Period,Data_value,Series_title_2
1,2004.03,16307.6,Credit
2,2005.03,18481.2,Credit
3,2006.03,20210.6,Credit
4,2007.03,22272.1,Credit
5,2008.03,23982.4,Credit
6,2009.03,24381.1,Credit
7,2010.03,24135.6,Credit
8,2011.03,24851.6,Credit
9,2012.03,26411.2,Credit
10,2013.03,27504.1,Credit
11,2014.03,29840.0,Credit
12,2015.03,31607.8,Credit
13,2016.03,34681.6,Credit
14,2017.03,39191.6,Credit
15,2018.03,46065.7,Credit
16,2019.03,50302.3,Credit
17,2020.03,52670.7,Credit
18,2021.03,55518.7,Credit
19,2022.03,61696.6,Credit
20,2004.03,20571.1,Debit
21,2005.03,22274.9,Debit
22,2006.03,24093.1,Debit
23,2007.03,26344.6,Debit
24,2008.03,28686.8,Debit
25,2009.03,30094.4,Debit
26,2010.03,31841.8,Debit
27,2011.03,33773.3,Debit
28,2012.03,36203.5,Debit
29,2013.03,37792.0,Debit
30,2014.03,39407.1,Debit
31,2015.03,40712.5,Debit
32,2016.03,41807.0,Debit
33,2017.03,42142.5,Debit
34,2018.03,41618.6,Debit
35,2019.03,41143.5,Debit
36,2020.03,41298.0,Debit
37,2021.03,34397.4,Debit
38,2022.03,33128.3,Debit
39,2004.03,981.4,Services
40,2005.03,1129.4,Services
41,2006.03,1269.5,Services
42,2007.03,1412.3,Services
43,2008.03,1563.6,Services
44,2009.03,1671.6,Services
45,2010.03,1762.2,Services
46,2011.03,1846.8,Services
47,2012.03,1975.0,Services
48,2013.03,2096.4,Services
49,2014.03,2358.2,Services
50,2015.03,2591.7,Services
51,2016.03,2796.7,Services
52,2017.03,3023.5,Services
53,2018.03,3304.7,Services
54,2019.03,3525.6,Services
55,2020.03,3630.0,Services
56,2021.03,3465.2,Services
57,2022.03,3554.4,Services
58,2004.03,175164639.0,Credit
59,2005.03,195790533.0,Credit
60,2006.03,210968205.0,Credit
61,2007.03,225913337.0,Credit
62,2008.03,240051535.0,Credit
63,2009.03,245016363.0,Credit
64,2010.03,251415302.0,Credit
65,2011.03,256962888.0,Credit
66,2012.03,271075612.0,Credit
67,2013.03,289001419.0,Credit
68,2014.03,323503974.0,Credit
69,2015.03,363251739.0,Credit
70,2016.03,430282120.0,Credit
71,2017.03,543191000.0,Credit
72,2018.03,693853089.0,Credit
73,2019.03,793562791.0,Credit
74,2020.03,852565339.0,Credit
75,2021.03,967199480.0,Credit
76,2022.03,1055538960.0,Credit
